_7HEIGHT75
_85HEIGHT857
THEIGHTT85
TEMPP7
TEMPP85
TEMPP925
TEMPP95
TEMPP975
TEMPPT
_7TEMPP75
_85TEMPP857
TTEMPPT85
TEMPZ2
_6HMAXTEMPZL32
_6HMINTEMPZL42
TWELVEHMAXTEMP2
TWELVEHMINTEMP2
MEANRH44S44
MEANRHLAYERMRF75
MEANRHLAYERMRF857
MEANRHLAYERMRFT85
DEWPOINTP7
DEWPOINTP85
DEWPOINTP925
DEWPOINTP95
DEWPOINTP975
DEWPOINTPT
DEWPOINTZ2
PRECIPWATER
EARTHUWINDZTEN
EARTHVWINDZTEN
WINDSPEEDP7
WINDSPEEDP85
WINDSPEEDP925
WINDSPEEDP95
WINDSPEEDP975
WINDSPEEDZTEN
KINDEX
